dominio,ocorrencias
bokitos.com.br,1
fastjob.com.br,1
fccargaf.com.br,1
fccargas.com.br,1
sccargas.com.br,1
transmagna.com.br,1
carlosaggio.com,1
tanakatransportes.com,1
pucpr.br,1
terlogs.com.br,1
lemonde.com.br,1
casalimpajoinville.com.br,1
indimagem.com.br,1
ctinfo.com.br,1
metalsul.joi.com.br,1
crwjoi.com.br,1
univille.edu.br,1
hotmail.co.uk,1
fatesc.com.br,1
minipa.com.br,1
prioriti.com.br,1
tan.com.br,1
schulz.eng.br,1
alfaeletro.com.br,1
marcegaglia.com.br,1
chacarasaguacu.com.br,1
acacomercial.com.br,1
ifac.edu.br,1
clicksign.com,1
unionhoteis.com.br,1
serv.com.br,1
megapropagandas.com.br,1
superdownloads.com.br,1
ufrgs.br,1
planalto.gov.br,1
solucoeshidraulicas.com.br,1
amplacursos.com.br,1
opensource.datasul.com.br,1
dbio.com.br,1
hotelcoresdomar.com.br,1
megatecno.com.br,1
pierdeipanema.com.br,1
redbug.com.br,1
reliquiasemdvd.com.br,1
reliquiasemdvds.com.br,1
restauranteriviera.com.br,1
seec.ieqmg.com.br,1
tenhaseusite.com.br,1
utidascadeiras.com.br,1
atenas.edu.br,1
cic.unb.br,1
unireal.edu.br,1
worksi.com.br,1
acij.com.br,1
wetzel.com.br,1
alternet.com.br,1
breiscontabilidade.com.br,1
contaazul.com,1
bridepub.com,1
furacao.com.br,1
sc.estacio.br,1
epoca-cont.com.br,1
circulo.com.br,1
colmeia.udesc.br,1
arteval.com.br,1
sergiostock.com.br,1
it3s.org,1
osite.com.br,1
jdmseguros.com.br,1
datafolha.com.br,1
siscompar.com.br,1
plesc.com,1
softrent.com.br,1
sesijoinville.com.br,1
telfor.com.br,1
sucesusp.com.br,1
siciliano.com.br,1
ugabuga.com.br,1
oxiaco.ind.br,1
livingcode.org,1
sulagricola.com.br,1
outlook.com,1
saraiva.com.br,1
astemautomacao.com.br,1
aol.com,1
artmed.com.br,1
smlivros.com.br,1
foto25.com.br,1
itatopografia.com.br,1
conectra.com.br,1
mattamachado.com.br,1
ufba.br,1
ymonad.com,1
editoraatos.com.br,1
ultimato.com.br,1
creapr.org.br,1
lvba.com.br,1
drogariacatarinense.com.br,1
efacil.com.br,1
hilgenstieler.com,1
kifi.com,1
transmann.com.br,1
jetbrains.com,1
joi.sc.senac.br,1
statuscon.com.br,1
signove.com,1
ndstecnologia.com.br,1
marisol.com.br,1
toprent.com.br,1
rhseller.com.br,1
weimar.com.br,1
mofficer.net,1
labone.net,1
usp.br,1
estantevirtual.com.br,1
planejamento.gov.br,1
fem.unicamp.br,1
poa.ifrs.edu.br,1
vianaweb.com.br,1
victusconsultoria.com.br,1
kontisa.com.br,1
lidel.pt,1
nokia.com,1
redevertical.com,1
xiru.org,1
blumenau.ifc.edu.br,1
atacadoelmo.com.br,1
pollux.com.br,1
d1pro.com.br,1
libercm.com.br,1
teletex.com.br,1
sac.extra.com.br,1
unimednm.com.br,1
rafaincentro.com.br,1
messebrasil.com.br,1
edws.com.br,1
bunghole.com.br,1
funlabs.org,1
futuragro.com.br,1
buhlergroup.com,1
ufsc.br,1
cathedrallabs.org,1
tecnomotriz.com.br,1
coisaria.com.br,1
grupogen.com.br,1
gabivel.com.br,1
primecomponentes.com.br,1
luzville.com.br,1
serviceinformatica.com.br,1
aporte.inf.br,1
paim.pro.br,1
digitaldoor.com.br,1
pq.cnpq.br,1
folha.com.br,1
garridovaz.com,1
graficabase.com.br,1
agricol.net.br,1
acokraft.com.br,1
mac.com,1
flavioribeiro.com,1
itelefonica.com.br,1
fozplaza.com.br,1
mbox1.ufsc.br,1
fribeiro.com.br,1
opentecnologia.com,1
rhealeza.com.br,1
internext.com.br,1
acoreshotel.com.br,1
kennedy.com.br,1
lovers.art.br,1
databerg.com.br,1
recapta.com.br,1
allestur.com.br,1
editoravida.com.br,1
aberta.com.br,1
clarisportasejanelas.com.br,1
contactusconsultoria.com.br,1
jpusa.org,1
poseidonlinux.org,1
taurinus.org,1
openoffice.org,1
procob.com,1
intip.com.br,1
niemeyer.net,1
powers.com.br,1
porttal.com.br,1
accor.con.br,1
pythonanywhere.com,1
engepel.com.br,1
bastos.net,1
hillecarnes.com.br,1
hotmail.com ::: hiurydiasb@gmail.com,1
webreservas.com.br,1
hotelestrelasdaserra.com.br,1
hotelrealfoz.com.br,1
dsc.ufcg.edu.br,1
jaraguadosul.sc.gov.br,1
purenet.com.br,1
aip.pt,1
rcspeedcopias.com.br,1
rcspeedycopias.com.br,1
usb.org.br,1
ibdi-edu.com.br,1
infoservicejoinville.com.br,1
asl.org.br,1
softwarelivre.org.br,1
tsbr.org.br,1
sntfloripa.org,1
paleta.com.br,1
ecolab.com,1
bigsafra.com.br,1
tranorte.com.br,1
transamericajoinville.com.br,1
ilhanet.com,1
sercompe.com.br,1
bma.inf.br,1
wiest.com.br,1
hmail.com,1
eunarede.com.br,1
chicoteseletricos.com.br,1
incal.com.br,1
dainf.ct.utfpr.edu.br,1
horizon.com.br,1
celesc.com.br,1
mpc.com.br,1
guaramirim.sc.gov.br,1
gerasoft.com.br,1
lepper.com.br,1
brod.com.br,1
dpi.inpe.br,1
lindoiaalimentos.com.br,1
iinet.net.au,1
monergismo.com,1
bradesco.com.br,1
mj.gov.br,1
yahoo.com.b,1
elsevier.com.br,1
ibi.com.br,1
canoinhas.sc.gov.br,1
prodam.sp.gov.br,1
milsolucoes.com.br,1
dicaslinux.com.br,1
unimedlitoral.com.br,1
stanplast.com.br,1
cadmus.com.br,1
geoambiente.eng.br,1
peb.com.br,1
julioviegas.com,1
tavolaredonda.com.br,1
juniorpolegato.com.br,1
samaesfs.com.br,1
kanui.com.br,1
deforti.com.br,1
dalmark.com.br,1
purityispossible.com,1
sc.senai.br,1
feis.unesp.br,1
ec2-184-72-171-158.compute-1.amazonaws.com,1
ppgia.pucpr.br,1
centosbr.org,1
kidux.com.br,1
ppinfo.com.br,1
kidux.net,1
ifba.edu.br,1
veltrac.com.br,1
hexusinternet.com,1
terraco.ind.br,1
ramonovo.com.br,1
aim.com,1
thermus.com.br,1
colmeia.macte.com.br,1
fiemg.com.br,1
makro.com.br,1
cooperalfa.com.br,1
gvt.com.br,1
multprocessing.com.br,1
ramalho.org,1
ignaz.zapto.org,1
elsevier.com,1
brennandenergia.com.br,1
extremeidc.com.br,1
pm.sc.gov.br,1
toti.com.br,1
luizclaudiomoreira.com,1
utfpr.edu.br,1
bycomp.com.br,1
sig.inf.br,1
klaus.pro,1
netscape.net,1
manfred.com.br,1
uolinc.com,1
angeloni.com.br,1
itaipu.gov.br,1
netuno.com.br,1
cs.york.ac.uk,1
meiobit.com,1
jorgefloriani.com.br,1
ucb.br,1
hypequino.com,1
ime.usp.br,1
ipemultimidia.com.br,1
franke.com,1
opentechgr.com.br,1
aragaobus.com.br,1
peopleone.com.br,1
grupoft.com.br,1
les.inf.puc-rio.br,1
prod.writely.com,1
araquari.ifc.edu.br,1
blogger.com,1
unitron.com.br,1
locknet.com.br,1
icmc.usp.br,1
ifpr.edu.br,1
laureano.eti.br,1
allcross.com.br,1
palavrantiga.com,1
sst.adv.br,1
multibras.com.br,1
mediservice.com.br,1
tradutores.com.br,1
renar.agr.br,1
hnc.com.br,1
rendimento.com.br,1
leardini.com.br,1
codenation.com.br,1
embedded.ufcg.edu.br,1
ipen.br,1
msc.jor.br,1
anstec.com.br,1
twitpic.com,1
inlogsolucoes.com.br,1
salso.com.br,1
gticonsultoria.com.br,1
matrix.com.br,1
informaction.com.br,1
grupoestrutura.com.br,1
megabr.com.br,1
gnoia.org,1
victus.com.br,1
mercadolivre.com,1
salfer.com.br,1
microjuntas.com.br,1
midiville.com.br,1
imobiliariamanchester.com.br,1
marceloramos.com,1
softplan.com.br,1
wmail.com.br,1
gnccinemas.com.br,1
ctavala.com.br,1
dell.com,1
googlemail.com,1
goooglegroups.com,1
grupopinhal.com.br,1
gruposostelecom.com.br,1
jazkarta.com,1
pctec.com.br,1
pangeia.com.br,1
sg.com.br,1
netitec.com.br,1
pocketmags.com,1
modro.com.br,1
cac.ufsc.br,1
acasadarocha.com.br,1
grsa.com.br,1
onlinebrinquedos.com.br,1
admman.com.br,1
orallis.com.br,1
parana.sl.org.br,1
aguasdejoinville.com.br,1
advir.com,1
aspmj.com.br,1
computerworld.com.br,1
fastmail.fm,1
incubadora.fapesp.br,1
dee.ufcg.edu.br,1
dimas.com.br,1
unifor.br,1
portalvidaorganica.com.br,1
pousadadisica.com.br,1
pousadavillagermania.com.br,1
libramar.com.br,1
vineglobal.org,1
cnib.com.br,1
lucilia.com.br,1
varigrelacionamento.com.br,1
sinte-sc.org.br,1
zumo.com.br,1
pyconbrasil.com.br,1
bradfor.ac.uk,1
objetiva.srv.br,1
utc.com.br,1
webcontinental.com.br,1
sebrae.com.br,1
raybanclube.com,1
netville.com.br,1
atlanticahotels.com.br,1
sinergbrasil.com,1
ops.kanui.com.br,1
krempreendimentos.com,1
linuxsecurity.com.br,1
aguavivapousada.com.br,1
rieger.com.br,1
restaurantegloria.com.br,1
espiritolivre.org,1
schroeder.sc.gov.br,1
coocam.com.br,1
coocan.com.br,1
iconevirtual.eti.br,1
autonomic.com.br,1
crcdosul.com.br,1
rioroiss.com.br,1
rklshop.com.br,1
uoul.com.br,1
dinizdefensivos.com.br,1
menttes.com,1
chesf.gov.br,1
lboro.ac.uk,1
llumina.com,1
eckhardt.com.br,1
leh.com.br,1
souzalima.adm.br,1
bruner.eti.br,1
ic.unicamp.br,1
global-cobranca.com.br,1
inbox.com,1
hargeradvogados.com.br,1
cpmbraxis.com,1
coamo.com.br,1
rosalba.com.br,1
pegesul.com.br,1
mcatextil.com.br,1
tjsc.jus.br,1
unb.br,1
ccuec.unicamp.br,1
unicamp.br,1
runnerbrasil.com.br,1
fischer.com.br,1
martins.com.br,1
electrolux.com.br,1
goularte.net,1
termotecnica.com.br,1
safra.com.br,1
nocsoft.com.br,1
netcabo.pt,1
saltur.com.br,1
santalucia2300.com.br,1
villareal.com.br,1
superig.com.br,1
dx.com,1
servixsaude.com.br,1
termotecnica.ind.br,1
datasul.cl,1
expandra.com.br,1
enfoldsystems.com,1
bomjesusielusc.edu.br,1
madezanmadeiras.com.br,1
impacto.tecnologias.com.br,1
sinapsedainovacao.com.br,1
timedev.com,1
stel.com,1
eafc.edu.br,1
gruposbr.com.br,1
plazabrasilia.com.br,1
intel.com,1
unesc.net,1
docspider.com.br,1
uniaosaude.com.br,1
apostilando.com,1
sympla.com.br,1
99taxis.com,1
pinger.com,1
sigmafone.com.br,1
9978-7709 Felipe,1
telealarme.com,1
novomileniosc.com.br,1
bodycote.com,1
academiadolivro.com.br,1
thiagoc.net,1
thiagovlima.com,1
sourcecraft.info,1
cingo.com.br,1
dee.feis.unesp.br,1
acquaplant.com.br,1
igp.sc.gov.br,1
gruponeoyama.com.br,1
bot.talk.google.com,1
email-support.uber.com,1
pearsoned.com.br,1
madeinchinaonline.net,1
diskeeper.com.,1
madeinchina.com,1
oracle-mail.com,1
microsoft.com,1
systemup.com.br,1
netgio.com.br,1
syetel.com.br,1
vjm.com.br,1
livrariassaber.com.br,1
bj.com.br,1
bj.coop.br,1
sobradoimoveis.com.br,1
juriti.com.br,1
guiafacilnet.com.br,1
ceugames.com.br,1
fundamas.com.br,1
void.cc,1
netbsd.com.br,1
oi.net.br,1
baraodemaua.br,1
virtualautomacao.com.br,1
willianrenan.com,1
gemail.com,1
weg3.com.br,1
bcb.gov.br,1
aboutwilson.net,1
fedoraproject.org,1
jaraguadosul.com.br,1
insta-messenger.net,1
partizan.com.br,1
